question_id,question_text,option_text,maps_to_type
q1,You hear a Korean phrase in a drama. What do you do?,Screenshot it because I need to know what it really means.,curious-fan
q1,,Look up the grammar and try to make my own sentence.,frustrated-learner
q1,,Save it for later… then accidentally watch three more episodes.,context-collector
q2,"In a K-drama, someone calls a total stranger at a convenience store 언니 — not their actual sister. What's your reaction?","That's so interesting — it's not about family, it's about how Koreans build closeness through what they call each other.",culture-explorer
q2,,Cute detail. I file it away and keep watching.,low-energy-learner
q2,,The subtitle just said 'excuse me' — that completely undersells what's happening.,curious-fan
q3,"You notice a line ending in -다 instead of the -요 you're used to, and the subtitle reads exactly the same either way. What do you do?",Go down a grammar rabbit hole trying to nail down exactly when each one is 'correct.',frustrated-learner
q3,,Jot both versions down side by side so I can compare them later.,context-collector
q3,,Think about what kind of relationship or setting would make someone switch tone like that.,culture-explorer
q4,"A character says something like ""이 정 때문에"" and the subtitle just gives you ""because I care about you."" How do you feel about that?","Honestly, 'because I care' is close enough for me today.",low-energy-learner
q4,,That's exactly the kind of thing subtitles flatten — this word deserves its own explanation.,curious-fan
q4,,"I want the precise definition, not a vibe — what does this word actually mean, technically?",frustrated-learner
q5,A variety show host repeats the same goofy catchphrase every single episode. What's your instinct?,I start a running list of catchphrases and which show or host each one is from.,context-collector
q5,,I want to know the story behind it — why did this become the running joke?,culture-explorer
q5,,I just laugh along and don't think about it any further — it's fun as-is.,low-energy-learner
q6,"You come across an internet slang term that's genuinely common online but pretty harsh — the kind that comes with a ""use with caution"" note. What's your approach?","I want to understand exactly how and when it's used, even if it's an uncomfortable topic.",curious-fan
q6,,I want a clear line for when it's okay to just know it versus when it's okay to actually say it.,frustrated-learner
q6,,"I file it under 'internet slang, handle carefully' for future reference.",context-collector
q7,A drama shows a tense 회식 (mandatory-feeling company dinner) scene. What draws you into it?,The social dynamics — why does everyone act like attendance isn't optional when it clearly is?,culture-explorer
q7,,Honestly I just want the vocabulary for ordering food and drinks — nothing deeper today.,low-energy-learner
q7,,"The subtitle says 'company dinner,' but it completely misses the hierarchy tension in the room.",curious-fan
q8,Someone in a drama gets surprisingly serious about being addressed correctly as 선배. Why does that stick with you?,"I want to know exactly who counts as 선배 versus 후배 in every setting — school, work, sports, all of it.",frustrated-learner
q8,,I add it to my growing list of relationship terms I'm collecting.,context-collector
q8,,It shows how much respect and hierarchy is baked into just addressing someone by name.,culture-explorer
q9,"You spot an old-school internet slang ending in a chat, and it doesn't match anything from your textbook. What now?","I shrug, guess from context, and keep scrolling.",low-energy-learner
q9,,I stop everything to figure out exactly where this even came from.,curious-fan
q9,,I get a little frustrated that no textbook prepared me for this.,frustrated-learner
q10,"After a week of K-dramas, you realize you've saved a dozen little expressions in your notes app and never reviewed a single one. How do you feel about that?",Thrilled — the collecting itself is half the fun.,context-collector
q10,,I want to trace how they connect to bigger cultural patterns before I even think about reviewing.,culture-explorer
q10,,No guilt — even glancing at the list later still counts as progress.,low-energy-learner
